	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
VALSYN-PWY	8.752488244741691e-05	0.00013567982220381592	0.00024852511478802493	0.00024897938285403637	0.00022109588960050284	0.00012588635126461618	0.0002613194113089379	0.00015139098364091037	0.00015772782351424633
ILEUSYN-PWY	7.649679621738352e-05	0.0001152830178337841	0.00022409752593954385	0.00019039537456802918	0.00022109588960050284	0.00011130937732234661	0.0002562010514549461	0.0001234519257250441	0.00010521349226090847
PWY-3001	4.1377912205741106e-05	5.6034124185748435e-05	8.61584390158117e-05	0.00015300615182758422	0.0002294839661717562	7.290076623629208e-05	0.00023491616794938546	7.35328226403178e-05	5.9863430208343964e-05
PWY-5103	6.872523563246278e-05	0.00010306175466175776	0.00020394294745793153	0.00015972934098922937	0.00020136203570602848	0.00010245794965380401	0.00023812778054680355	0.0001099599822039247	8.683261635106441e-05
ARGSYN-PWY	5.279389588656441e-05	3.4509311939820746e-05	0.00011053006392933654	0.00013329072571779716	0.00018513705052288263	0.0001227745607747636	0.00018586373830329955	0.00012089033059211865	7.30460506146967e-05
ARGSYNBSUB-PWY	6.581277984296868e-05	3.2593686991569194e-05	9.505248201169894e-05	0.00012701820903152913	0.0001793234195136625	0.0001382944031657509	0.00018143886454679843	0.00011603388359608494	6.531876568061394e-05
GLUTORN-PWY	2.9795070284776475e-05	2.919671716471307e-05	0.00011482136954431089	0.00014260145477666352	0.00021815611446824988	6.539889353450569e-05	0.00023887390565551932	9.768690890176215e-05	5.3065805758091326e-05
PWY-7400	5.259843146730299e-05	3.4696964127402766e-05	0.0001103187256648473	0.000132582185462527	0.0001846854500917928	0.0001221804748414014	0.00018563504957639894	0.00012105764306545183	7.373300639439958e-05
HSERMETANA-PWY	4.487533650891476e-05	2.54566731110845e-05	0.00012091550199840631	5.045390107884891e-05	7.147555673303805e-05	5.633620296834622e-05	9.088124110599168e-05	6.166775353218598e-05	4.888368587566164e-05
PWY-6151	4.4652990694539864e-05	5.1387035303193584e-05	8.330631857172924e-05	0.00011692068102341693	0.0002045926952721968	0.0001131596482523321	0.0001883013704773717	0.0001323370525049389	6.373945014661191e-05
PWY-6609	0.00011218124002396986	0.00016992000582883237	0.0001530299404688036	0.00012508329340945676	0.00016283241230098414	0.00018548106655069527	0.00020300554514335144	0.00012602244847287038	0.00011833623349027936
PWY-6126	9.198634131331214e-05	3.14424107548394e-05	0.0001761455977124871	0.00012053422334195598	0.00014745306362289656	7.372389127376443e-05	0.0001450836113754292	2.981311501756824e-05	6.482000498219602e-05
PWY-7229	0.00011154165332207509	4.7983297737556484e-05	0.00019390154117685622	0.00012670954366041033	0.00016395561348298254	0.00010015152867168935	0.00015400797171834205	4.4654437225775844e-05	8.234734478655983e-05
PWY-841	5.487185805956415e-05	4.1058684751052354e-05	0.00014602325710117068	0.00012886549588254134	0.00014361693321606053	7.956607586402313e-05	0.00014482204615117218	3.783186465659611e-05	6.227246542351177e-05
PWY-7220	5.667521206817484e-05	1.4813393561764025e-05	0.000143756822426035	0.0001289104517668731	0.0001278688485089788	3.925028027177954e-05	0.00014612539928098226	1.4327930282279799e-05	3.618444155251289e-05
PWY-6123	4.792985125354655e-05	0.00015742890812808349	0.00013464577182509914	0.00010671706712497823	0.00012667021091620776	0.0001099010360269879	0.00013366522817587347	0.00010925791020628011	6.733699324530048e-05
PWY-6124	4.374422739646427e-05	0.0001553381197153323	0.00012860198654714828	9.905818886541388e-05	0.00012392569534704892	0.00010396961816792973	0.00012951878877774355	0.00010722087002405485	6.255551948819228e-05
PWY-7234	4.333871417128102e-05	0.0001367649744483998	7.071936494889266e-05	9.168821749585068e-05	0.00011358310677430463	1.94824440766892e-05	0.00011673184243809466	4.933808577045098e-05	0.0
PWY-6121	4.578139227221459e-05	0.000132844590149087	0.00016496930470477907	0.00018562583123099164	0.00016140782196137006	0.00013737594957372913	0.00015652526402539288	0.00010856781516476234	0.00010239617351328894
PWY-6122	4.141732219854198e-05	0.00013312874455747155	0.00019308588237039427	0.00019258179734437265	0.00019431762842600742	0.00013520516218548214	0.00016454830152618768	0.00010560718139151862	0.0001026521263446805
